Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_4_98,VGND,li1,51.2900,21.7600,0.000011
FILLER_4_95,VGND,li1,49.9100,21.7600,0.000011
FILLER_4_85,VGND,li1,44.8500,21.7600,0.000010
FILLER_4_74,VGND,li1,40.0200,21.7600,0.000009
FILLER_4_55,VGND,li1,31.2800,21.7600,0.000006
FILLER_4_52,VGND,li1,30.1300,21.7600,0.000006
FILLER_4_49,VGND,li1,28.7500,21.7600,0.000006
FILLER_4_41,VGND,li1,24.6100,21.7600,0.000004
FILLER_4_38,VGND,li1,23.6900,21.7600,0.000004
FILLER_4_35,VGND,li1,22.3100,21.7600,0.000005
FILLER_4_32,VGND,li1,20.9300,21.7600,0.000005
FILLER_4_29,VGND,li1,19.5500,21.7600,0.000005
FILLER_4_26,VGND,li1,17.9400,21.7600,0.000005
FILLER_4_23,VGND,li1,16.7900,21.7600,0.000005
FILLER_4_20,VGND,li1,15.4100,21.7600,0.000006
FILLER_4_17,VGND,li1,14.0300,21.7600,0.000006
FILLER_4_3,VGND,li1,7.3600,21.7600,0.000006
FILLER_3_125,VGND,li1,63.4800,21.7600,0.000012
FILLER_3_122,VGND,li1,62.3300,21.7600,0.000012
FILLER_3_96,VGND,li1,50.3700,21.7600,0.000011
FILLER_3_80,VGND,li1,42.7800,21.7600,0.000009
FILLER_3_57,VGND,li1,32.2000,21.7600,0.000006
FILLER_3_53,VGND,li1,30.5900,21.7600,0.000006
FILLER_3_41,VGND,li1,24.8400,21.7600,0.000004
FILLER_3_38,VGND,li1,23.6900,21.7600,0.000004
FILLER_3_35,VGND,li1,22.3100,21.7600,0.000005
FILLER_3_32,VGND,li1,20.9300,21.7600,0.000005
FILLER_3_29,VGND,li1,19.5500,21.7600,0.000005
FILLER_3_26,VGND,li1,18.1700,21.7600,0.000005
FILLER_3_23,VGND,li1,16.7900,21.7600,0.000005
FILLER_2_77,VGND,li1,41.4000,16.3200,0.000018
FILLER_2_29,VGND,li1,19.5500,16.3200,0.000011
FILLER_2_6,VGND,li1,8.5100,16.3200,0.000012
FILLER_1_122,VGND,li1,62.1000,16.3200,0.000023
FILLER_1_119,VGND,li1,60.9500,16.3200,0.000023
FILLER_1_116,VGND,li1,59.5700,16.3200,0.000023
FILLER_1_84,VGND,li1,44.6200,16.3200,0.000019
FILLER_1_81,VGND,li1,43.4700,16.3200,0.000019
FILLER_1_78,VGND,li1,42.0900,16.3200,0.000018
FILLER_1_75,VGND,li1,40.7100,16.3200,0.000018
FILLER_1_72,VGND,li1,39.3300,16.3200,0.000017
FILLER_1_69,VGND,li1,37.9500,16.3200,0.000017
FILLER_1_66,VGND,li1,36.5700,16.3200,0.000015
FILLER_1_63,VGND,li1,35.1900,16.3200,0.000015
FILLER_1_60,VGND,li1,33.8100,16.3200,0.000014
FILLER_1_57,VGND,li1,32.4300,16.3200,0.000014
FILLER_1_53,VGND,li1,30.5900,16.3200,0.000013
FILLER_1_29,VGND,li1,19.5500,16.3200,0.000011
FILLER_1_12,VGND,li1,11.7300,16.3200,0.000012
FILLER_1_9,VGND,li1,10.3500,16.3200,0.000012
FILLER_1_6,VGND,li1,8.9700,16.3200,0.000012
